case	barcode_normal	barcode_tumor	uuid_normal	uuid_tumor	chr1:111755648_normal	chr1:111755648_tumor	chr1:120973520_normal	chr1:120973520_tumor	chr1:125167749_normal	chr1:125167749_tumor	chr1:125167927_normal	chr1:125167927_tumor	chr1:143184833_normal	chr1:143184833_tumor	chr1:143191791_normal	chr1:143191791_tumor	chr1:143213623_normal	chr1:143213623_tumor	chr1:143217536_normal	chr1:143217536_tumor	chr1:143218105_normal	chr1:143218105_tumor	chr1:185156770_normal	chr1:185156770_tumor	chr10:41909522_normal	chr10:41909522_tumor	chr10:41910866_normal	chr10:41910866_tumor	chr10:42067190_normal	chr10:42067190_tumor	chr10:73969_normal	chr10:73969_tumor	chr14:75794999_normal	chr14:75794999_tumor	chr16:34582307_normal	chr16:34582307_tumor	chr16:34583579_normal	chr16:34583579_tumor	chr16:68738315_normal	chr16:68738315_tumor	chr17:59381297_normal	chr17:59381297_tumor	chr20:29080591_normal	chr20:29080591_tumor	chr20:29080600_normal	chr20:29080600_tumor	chr20:31661448_normal	chr20:31661448_tumor	chr20:34526476_normal	chr20:34526476_tumor	chr21:32413109_normal	chr21:32413109_tumor	chr3:47586910_normal	chr3:47586910_tumor	chr3:75669082_normal	chr3:75669082_tumor	chr3:75669400_normal	chr3:75669400_tumor	chr5:40681256_normal	chr5:40681256_tumor	chr5:49657236_normal	chr5:49657236_tumor	chr5:49657316_normal	chr5:49657316_tumor	chr5:49658235_normal	chr5:49658235_tumor	chr5:49660983_normal	chr5:49660983_tumor	chr8:102395112_normal	chr8:102395112_tumor	chr8:127891443_normal	chr8:127891443_tumor	chr8:128267540_normal	chr8:128267540_tumor	chr8:13132891_normal	chr8:13132891_tumor	chr9:135751043_normal	chr9:135751043_tumor
TCGA-AC-A2B8	TCGA-AC-A2B8-10A	TCGA-AC-A2B8-01A	8b004bf3-f8bf-4988-9eb5-5739d6eec044	70522eb8-84b4-47c7-b014-cf477ebc8821	5	4.0	3.0	1.0	37.0	50.0	66.0	55.0	69.0	76.0	33.0	32.0	34.0	32.0	501.0	501.0	219.0	340.0	3.0	2.0	30.0	31.0	103.0	82.0	54.0	61.0	0.0	0.0	4.0	2.0	1082.0	557.0	716.0	517.0	13.0	10.0	2.0	3.0	2.0	1.0	3.0	1.0	3.0	3.0	1.0	7	2.0	4.0	0.0	2.0	35.0	36.0	23.0	18.0	13	9	106.0	95.0	70.0	62.0	82.0	90.0	162.0	141.0	3.0	3.0	2.0	4.0	3.0	1.0	2.0	3.0	10.0	13
TCGA-D8-A1XK	TCGA-D8-A1XK-10A	TCGA-D8-A1XK-01A	c289b430-5516-46f0-8910-55ac1cd62f2f	70c1e811-e680-4389-86f6-6950ab1b0eb4	13	12.0	1.0	2.0	59.0	50.0	131.0	156.0	148.0	167.0	12.0	14.0	53.0	75.0	1120.0	1319.0	391.0	560.0	5.0	4.0	25.0	33.0	82.0	133.0	93.0	90.0	0.0	2.0	0.0	0.0	921.0	973.0	591.0	721.0	19.0	21.0	1.0	4.0	7.0	5.0	6.0	4.0	2.0	2.0	3.0	6	15.0	15.0	0.0	0.0	46.0	17.0	17.0	9.0	32	29	96.0	128.0	94.0	101.0	104.0	138.0	170.0	200.0	1.0	0.0	1.0	3.0	4.0	1.0	14.0	6.0	42.0	32
TCGA-LL-A73Y	TCGA-LL-A73Y-10B	TCGA-LL-A73Y-01A	237e55b4-0d21-4cab-9522-74f569cefebc	3d3384e7-15b7-40e1-825d-0db288eda7e3	3	14.0	205.0	286.0	2.0	1.0	9.0	0.0	8.0	6.0	0.0	0.0	6.0	1.0	35.0	4.0	22.0	7.0	9.0	14.0	2.0	0.0	3.0	1.0	5.0	1.0	5.0	20.0	0.0	0.0	134.0	14.0	73.0	12.0	75.0	159.0	0.0	0.0	24.0	36.0	25.0	35.0	0.0	1.0	9.0	24	7.0	21.0	18.0	41.0	3.0	7.0	1.0	2.0	15	33	5.0	0.0	3.0	1.0	3.0	0.0	6.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	13.0	28.0	30.0	66
TCGA-OL-A5D7	TCGA-OL-A5D7-10A	TCGA-OL-A5D7-01A	d4aedcf3-daa8-492d-8718-147b39a59338	d443901b-dfad-46af-8563-0d2dca73dce7	7	8.0	123.0	162.0	3.0	6.0	13.0	11.0	31.0	26.0	0.0	0.0	19.0	11.0	144.0	119.0	70.0	75.0	2.0	5.0	2.0	1.0	13.0	5.0	7.0	6.0	4.0	23.0	0.0	0.0	155.0	83.0	109.0	71.0	63.0	68.0	1.0	1.0	33.0	43.0	31.0	41.0	1.0	1.0	7.0	4	7.0	12.0	16.0	30.0	16.0	8.0	10.0	6.0	27	17	12.0	8.0	8.0	3.0	7.0	4.0	16.0	13.0	2.0	0.0	1.0	1.0	0.0	0.0	29.0	16.0	71.0	42
TCGA-3C-AALI	TCGA-3C-AALI-10A	TCGA-3C-AALI-01A	5f21652f-0470-48b7-9448-21c19bf6410e	93efa18e-89ed-4adf-a353-7258ae2e6793	8	7.0	151.0	239.0	0.0	4.0	3.0	12.0	3.0	6.0	0.0	0.0	1.0	3.0	31.0	51.0	8.0	25.0	1.0	2.0	1.0	1.0	1.0	5.0	4.0	4.0	7.0	5.0	0.0	0.0	50.0	65.0	39.0	55.0	66.0	127.0	0.0	0.0	12.0	49.0	8.0	43.0	0.0	1.0	5.0	20	11.0	31.0	39.0	49.0	5.0	6.0	3.0	11.0	10	32	1.0	2.0	0.0	2.0	0.0	3.0	3.0	8.0	0.0	1.0	0.0	1.0	0.0	0.0	17.0	36.0	27.0	58
TCGA-EW-A1IX	TCGA-EW-A1IX-10A	TCGA-EW-A1IX-01A	37b926b7-9ccc-437b-baba-0a1bcd3077b0	fdd67f3d-fabc-4428-85ba-034c2131c3d0	10	7.0	1.0	0.0	28.0	65.0	115.0	120.0	185.0	208.0	25.0	40.0	77.0	93.0	701.0	1119.0	356.0	794.0	4.0	0.0	32.0	27.0	102.0	75.0	115.0	131.0	0.0	1.0	14.0	10.0	748.0	855.0	478.0	736.0	19.0	10.0	0.0	0.0	3.0	4.0	3.0	3.0	2.0	1.0	6.0	3	11.0	9.0	1.0	2.0	27.0	29.0	13.0	30.0	23	8	127.0	164.0	74.0	99.0	89.0	159.0	216.0	239.0	2.0	3.0	5.0	3.0	5.0	2.0	16.0	5.0	26.0	18
TCGA-PL-A8LY	TCGA-PL-A8LY-10A	TCGA-PL-A8LY-01A	e01a22eb-ec4d-445b-8a81-452e7ab52a6d	72ffc756-2045-4f65-876d-7e55432c2c25	7	18.0	237.0	212.0	2.0	2.0	4.0	6.0	6.0	6.0	0.0	0.0	3.0	2.0	26.0	34.0	10.0	25.0	3.0	3.0	1.0	0.0	3.0	0.0	2.0	0.0	7.0	15.0	0.0	1.0	44.0	35.0	31.0	28.0	72.0	125.0	0.0	0.0	10.0	15.0	8.0	13.0	0.0	0.0	7.0	8	13.0	14.0	25.0	44.0	8.0	6.0	6.0	0.0	21	18	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	32.0	38.0	57
TCGA-A2-A25B	TCGA-A2-A25B-10A	TCGA-A2-A25B-01A	3628ab32-4111-4e50-8134-6e782bf30d22	88f7f016-f843-45b5-bdf1-359b492e9699	5	14.0	0.0	0.0	47.0	35.0	134.0	102.0	186.0	178.0	25.0	16.0	128.0	92.0	871.0	763.0	353.0	382.0	0.0	8.0	31.0	14.0	72.0	66.0	109.0	63.0	1.0	1.0	0.0	0.0	803.0	626.0	465.0	427.0	14.0	20.0	2.0	7.0	7.0	7.0	7.0	6.0	1.0	3.0	6.0	4	8.0	3.0	2.0	0.0	28.0	8.0	15.0	9.0	20	40	89.0	86.0	72.0	65.0	87.0	90.0	180.0	147.0	4.0	1.0	5.0	3.0	0.0	1.0	6.0	7.0	25.0	21
TCGA-E9-A1RA	TCGA-E9-A1RA-10A	TCGA-E9-A1RA-01A	a87bf51b-c59d-4369-a757-e6d7b1bc5ea2	9eaf4c9c-c6d0-4778-bfb9-b3445f7c838c	6	11.0	1.0	3.0	44.0	368.0	90.0	894.0	94.0	877.0	7.0	31.0	62.0	637.0	914.0	5896.0	400.0	2468.0	1.0	10.0	30.0	201.0	98.0	856.0	70.0	398.0	0.0	12.0	3.0	12.0	1042.0	4996.0	731.0	3317.0	9.0	21.0	1.0	9.0	0.0	8.0	0.0	8.0	2.0	14.0	6.0	12	2.0	16.0	4.0	4.0	20.0	126.0	14.0	69.0	21	40	176.0	1093.0	128.0	807.0	171.0	850.0	240.0	1643.0	1.0	8.0	1.0	7.0	3.0	8.0	2.0	22.0	14.0	27
TCGA-EW-A1P6	TCGA-EW-A1P6-10A	TCGA-EW-A1P6-01A	61375377-6ed6-4607-acf8-7001279db44f	4faabc6a-2746-457e-b691-4d110f6fb77f	11	8.0	2.0	1.0	47.0	59.0	87.0	84.0	195.0	185.0	13.0	10.0	93.0	68.0	826.0	778.0	489.0	477.0	5.0	2.0	24.0	30.0	105.0	60.0	58.0	42.0	1.0	1.0	9.0	13.0	1175.0	1184.0	756.0	844.0	14.0	4.0	0.0	1.0	3.0	2.0	2.0	2.0	3.0	0.0	3.0	7	8.0	10.0	2.0	0.0	38.0	22.0	22.0	14.0	20	17	128.0	130.0	140.0	117.0	102.0	105.0	315.0	262.0	3.0	6.0	2.0	5.0	3.0	6.0	11.0	3.0	14.0	16
TCGA-BH-A1EY	TCGA-BH-A1EY-11B	TCGA-BH-A1EY-01A	30195632-4298-4259-98c7-6d0d6462b125	cbe16599-6565-420d-bd4f-24cf17478834	13	11.0	0.0	0.0	42.0	40.0	126.0	106.0	165.0	188.0	20.0	36.0	30.0	40.0	970.0	1098.0	458.0	548.0	1.0	6.0	31.0	41.0	119.0	102.0	78.0	78.0	0.0	1.0	3.0	6.0	1325.0	1017.0	890.0	720.0	10.0	25.0	0.0	0.0	9.0	7.0	7.0	7.0	0.0	1.0	6.0	11	10.0	20.0	0.0	0.0	34.0	25.0	25.0	23.0	26	36	146.0	182.0	97.0	120.0	146.0	148.0	250.0	311.0	1.0	2.0	0.0	3.0	2.0	2.0	12.0	4.0	27.0	45
TCGA-EW-A1IW	TCGA-EW-A1IW-10A	TCGA-EW-A1IW-01A	79a50cee-4ae4-401d-93de-ab10f4e684ff	5fda4e8a-feee-4439-ba25-85b9bf2b83dc	10	6.0	2.0	2.0	71.0	45.0	196.0	164.0	386.0	288.0	108.0	58.0	77.0	73.0	2183.0	1521.0	1093.0	746.0	2.0	5.0	70.0	36.0	275.0	163.0	88.0	44.0	2.0	2.0	3.0	3.0	1528.0	551.0	1115.0	393.0	12.0	12.0	1.0	2.0	7.0	0.0	7.0	0.0	5.0	1.0	3.0	7	7.0	13.0	0.0	1.0	66.0	19.0	42.0	10.0	8	26	213.0	93.0	182.0	67.0	213.0	103.0	397.0	191.0	2.0	1.0	2.0	1.0	2.0	1.0	13.0	4.0	24.0	29
TCGA-WT-AB44	TCGA-WT-AB44-10A	TCGA-WT-AB44-01A	5c53ed51-f1ef-4b97-86b0-be822c99a732	15a61902-58e4-4395-a4cd-1110de5b3660	16	10.0	214.0	466.0	3.0	8.0	5.0	11.0	3.0	17.0	3.0	4.0	1.0	2.0	47.0	104.0	22.0	43.0	4.0	18.0	0.0	0.0	3.0	6.0	4.0	6.0	12.0	19.0	0.0	0.0	31.0	51.0	25.0	40.0	93.0	93.0	0.0	1.0	21.0	29.0	20.0	26.0	0.0	0.0	11.0	19	8.0	24.0	46.0	69.0	6.0	15.0	4.0	7.0	13	45	1.0	2.0	1.0	1.0	0.0	3.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	51.0	36.0	61
TCGA-D8-A1XY	TCGA-D8-A1XY-10A	TCGA-D8-A1XY-01A	aadee87c-6a68-4580-bd10-64ac273b1e3d	4374e19d-c5e7-49cf-8707-05ae5aeb7369	9	5.0	2.0	1.0	47.0	41.0	102.0	78.0	146.0	101.0	8.0	9.0	76.0	19.0	587.0	491.0	254.0	316.0	2.0	3.0	21.0	31.0	123.0	128.0	88.0	64.0	3.0	1.0	0.0	3.0	868.0	823.0	553.0	669.0	16.0	16.0	1.0	2.0	1.0	5.0	1.0	4.0	1.0	1.0	7.0	4	7.0	9.0	0.0	1.0	22.0	21.0	19.0	8.0	31	22	111.0	99.0	91.0	84.0	74.0	100.0	178.0	205.0	1.0	2.0	0.0	4.0	0.0	2.0	7.0	2.0	23.0	33
TCGA-GM-A2D9	TCGA-GM-A2D9-11A	TCGA-GM-A2D9-01A	d9f5f5df-aa3c-4a72-aa8b-f3f0e1071782	8361ad58-2386-460e-aff8-9e35258c53ad	9	8.0	1.0	1.0	41.0	61.0	108.0	136.0	133.0	198.0	13.0	31.0	70.0	75.0	480.0	737.0	247.0	394.0	3.0	4.0	25.0	36.0	70.0	160.0	118.0	132.0	1.0	2.0	2.0	3.0	869.0	997.0	525.0	661.0	22.0	9.0	0.0	0.0	2.0	1.0	1.0	1.0	1.0	1.0	5.0	6	7.0	10.0	0.0	2.0	19.0	25.0	12.0	13.0	28	24	120.0	104.0	89.0	96.0	82.0	107.0	203.0	193.0	1.0	1.0	5.0	2.0	2.0	4.0	10.0	8.0	25.0	37
TCGA-D8-A1Y3	TCGA-D8-A1Y3-10A	TCGA-D8-A1Y3-01A	5ba696c3-808c-4a02-b6aa-6c90bbe7de3c	99041db0-184c-48f9-aa0b-c96329a1f7d7	6	0.0	0.0	1.0	53.0	109.0	86.0	180.0	137.0	247.0	49.0	110.0	39.0	90.0	1058.0	2553.0	606.0	1367.0	1.0	3.0	20.0	38.0	104.0	139.0	63.0	83.0	4.0	0.0	0.0	1.0	392.0	518.0	365.0	404.0	12.0	8.0	0.0	1.0	3.0	5.0	3.0	3.0	1.0	1.0	6.0	10	8.0	9.0	0.0	1.0	23.0	22.0	11.0	14.0	13	17	82.0	78.0	63.0	48.0	69.0	83.0	132.0	159.0	0.0	1.0	0.0	5.0	0.0	6.0	2.0	1.0	20.0	25
TCGA-AR-A252	TCGA-AR-A252-10A	TCGA-AR-A252-01A	6841d1e8-a22c-4699-a7eb-8e202afcc572	9cad36dc-f98c-4378-ab00-96500e98ee83	6	9.0	0.0	0.0	41.0	43.0	50.0	97.0	87.0	141.0	5.0	5.0	73.0	95.0	696.0	807.0	362.0	348.0	4.0	6.0	40.0	28.0	80.0	116.0	26.0	35.0	0.0	0.0	0.0	1.0	667.0	795.0	529.0	596.0	20.0	19.0	1.0	2.0	1.0	7.0	1.0	6.0	0.0	1.0	15.0	6	14.0	10.0	1.0	1.0	21.0	31.0	14.0	22.0	18	32	121.0	132.0	97.0	104.0	102.0	115.0	181.0	241.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	8.0	13.0	27
TCGA-B6-A402	TCGA-B6-A402-10A	TCGA-B6-A402-01A	5018721b-9c50-4c2b-a18b-c436a5fec273	2f19f766-7b6d-45e4-bc44-64edc2104108	5	19.0	192.0	267.0	34.0	3.0	97.0	27.0	210.0	72.0	18.0	8.0	33.0	5.0	689.0	186.0	450.0	108.0	6.0	11.0	24.0	2.0	111.0	20.0	56.0	18.0	9.0	23.0	1.0	0.0	1399.0	238.0	887.0	127.0	88.0	57.0	2.0	1.0	38.0	16.0	35.0	13.0	0.0	0.0	2.0	7	16.0	28.0	27.0	38.0	38.0	5.0	17.0	5.0	32	19	87.0	5.0	79.0	3.0	60.0	1.0	172.0	3.0	1.0	1.0	2.0	0.0	1.0	3.0	30.0	27.0	67.0	41
TCGA-D8-A3Z5	TCGA-D8-A3Z5-10A	TCGA-D8-A3Z5-01A	1f0f757c-f73f-4552-a583-6933e6fa4921	1ee8ca05-4c80-42e1-b403-f60900330d2d	15	1.0	92.0	126.0	7.0	7.0	16.0	9.0	38.0	27.0	0.0	0.0	8.0	17.0	150.0	155.0	61.0	62.0	7.0	6.0	9.0	1.0	14.0	11.0	7.0	5.0	9.0	3.0	0.0	0.0	126.0	65.0	86.0	52.0	90.0	54.0	1.0	1.0	32.0	43.0	29.0	39.0	0.0	1.0	5.0	6	15.0	10.0	29.0	24.0	15.0	8.0	12.0	3.0	29	22	18.0	15.0	19.0	9.0	9.0	10.0	42.0	14.0	0.0	0.0	1.0	1.0	0.0	0.0	46.0	26.0	68.0	71
TCGA-A7-A13G	TCGA-A7-A13G-11A	TCGA-A7-A13G-01B	a6385dd3-f683-4b90-a6e5-1a65a83cfb9f	8c1e510e-b756-4d6f-b193-7c0b075e79fe	7	6.0	0.0	211.0	71.0	12.0	160.0	41.0	269.0	40.0	12.0	3.0	89.0	18.0	1485.0	258.0	723.0	150.0	4.0	6.0	42.0	2.0	211.0	21.0	167.0	8.0	2.0	2.0	1.0	0.0	1699.0	107.0	1189.0	69.0	12.0	26.0	1.0	0.0	2.0	12.0	1.0	7.0	0.0	0.0	9.0	6	14.0	4.0	1.0	23.0	30.0	2.0	12.0	5.0	37	16	333.0	15.0	229.0	15.0	275.0	12.0	524.0	14.0	0.0	0.0	2.0	1.0	1.0	0.0	4.0	20.0	20.0	18
TCGA-AR-A24Z	TCGA-AR-A24Z-10A	TCGA-AR-A24Z-01A	c2cf5f67-eff6-4bd1-b139-1f14c67e276d	55a7eb1b-c30f-4297-8d1f-e20d514926fc	6	3.0	2.0	3.0	49.0	40.0	96.0	108.0	96.0	112.0	42.0	68.0	50.0	56.0	721.0	645.0	293.0	300.0	5.0	0.0	30.0	55.0	102.0	144.0	95.0	147.0	3.0	1.0	4.0	3.0	1e3	1308.0	690.0	858.0	11.0	17.0	0.0	6.0	7.0	5.0	8.0	6.0	0.0	4.0	4.0	8	6.0	16.0	1.0	0.0	42.0	44.0	22.0	39.0	22	19	167.0	168.0	130.0	157.0	119.0	132.0	260.0	251.0	6.0	1.0	2.0	9.0	5.0	5.0	10.0	5.0	25.0	26
